season,game_id,away_team_abv,away_team,home_team_abv,home_team,roof,MarkerId,MarkerUTC,MarkerLTC,play_date_time,play_type,desc,comments,IsOfficial,qtr,ClockMinutes,ClockSeconds,game_half,SourceType,EventId,SituationCode,SourceId,SourceNativeMarkerId,OfficialCode,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,time,posteam,LastPlaySummary,LastPlayStatus,home_team_has_pos,posteam_abv,defteam_abv,receive_2h_ko_team,VisTimeouts,HomeTimeouts,posteam_timeouts_remaining,defteam_timeouts_remaining,BallOn_Side,BallOn_YardNum,DriveNum,yardline_100,spread_line,VisScore,HomeScore,MapRoleTackler1,MapRoleKicker,MapRoleKickreturner,FootballStatus,FootballPlayResult,FootballKickRetYards,FootballSetBallOn_VisOrHome,FootballSetBallOn_YardNum,MapRoleRusher,down,ydstogo,FootballYards,FootballFumble_TeamFumbled,FootballFumble_PlayerFumbled,FootballFumble_TeamRecovered,FootballFumble_PlayerRecovered,FootballFumble_PlayerForcedFumble,Drive_Start_VisOrHome,Drive_Start_YardNum,Drive_Plays,Drive_Yards,Drive_TOP,Result,MapRolePasser,MapRoleReceiver,MapRolePassDefender,MapRoleInterceptor,MapRoleQbHitter,MapRoleTackler2,FootballPenalty_TeamId,FootballPenalty_PlayerId,FootballPenalty_Yards,FootballPenalty_PenaltyResult,FootballPenalty_Description,FootballMainScoringPlay,FootballConvAttPts,FootballTimeoutTeamId,MapRoleSacker1,pass_touchdown,rush_touchdown,field_goal_attempt,field_goal_made,touchdown
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,22,1680459692.0,51692,2023-04-02 18:21:32.000000,EventFootballPass,1-10-STL 14 (11:29) 10 A. McCarron pass incomplete to 3 M. Ateman Pass Defended by 23 S. Davis,,True,1,11,29,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,10,2302026-STL-at-HOU,689,1589,3389,11:29,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,14,3,86,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,1.0,10.0,,,,,,,Visitor,4.0,2.0,10.0,0:48, ,22026,20058,20368,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,182,1680459725.0,51725,2023-04-02 18:22:05.000000,EventFootballPass,"2-10-STL 14 (10:59) 10 A. McCarron pass to 13 A. Proehl to STL 24 for 10 yards (29 A. Hendy, 3 A. Harris)",,True,1,10,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,11,2302026-STL-at-HOU,659,1559,3359,10:59,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,14,3,86,0,0,0,20675,,,StatusOfficial,ResultPassComplete,,,,,2.0,10.0,10.0,,,,,,Visitor,4.0,3.0,20.0,1:42, ,22026,21263,,,,20633,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,31,1680459765.0,51765,2023-04-02 18:22:45.000000,EventFootballPass,1-10-STL 24 (10:18) 10 A. McCarron pass to 11 D. Shepherd to STL 35 for 11 yards (23 S. Davis),,True,1,10,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,12,2302026-STL-at-HOU,618,1518,3318,10:18,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,24,3,76,0,0,0,20368,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,11.0,,,,,,Visitor,4.0,4.0,31.0,2:13, ,22026,21822,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,34,1680459803.0,51803,2023-04-02 18:23:23.000000,EventFootballRush,"1-10-STL 35 (9:41) 23 B. Hill rush to STL 37 for 2 yards (52 E. Ellerbee, 96 J. Heflin)",,True,1,9,41,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,13,2302026-STL-at-HOU,581,1481,3281,9:41,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,35,3,65,0,0,0,21857,,,StatusOfficial,,,,,20688,1.0,10.0,2.0,,,,,,Visitor,4.0,5.0,33.0,2:48, ,,,,,,22875,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,36,1680459844.0,51844,2023-04-02 18:24:04.000000,EventFootballPass,2-8-STL 37 (8:59) 10 A. McCarron pass to 11 D. Shepherd to STL 42 for 5 yards (11 T. Beckett),,True,1,8,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,14,2302026-STL-at-HOU,539,1439,3239,8:59,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,37,3,63,0,0,0,20107,,,StatusOfficial,ResultPassComplete,,,,,2.0,8.0,5.0,,,,,,Visitor,4.0,6.0,38.0,3:23, ,22026,21822,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,39,1680459885.0,51885,2023-04-02 18:24:45.000000,EventFootballPass,3-3-STL 42 (8:19) 10 A. McCarron pass to 3 M. Ateman to HOU 49 for 9 yards (3 A. Harris),,True,1,8,19,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,15,2302026-STL-at-HOU,499,1399,3199,8:19,5,,,0.0,STL,HOU,0.0,3,3,3,3,Visitor,42,3,58,0,0,0,20633,,,StatusOfficial,ResultPassComplete,,,,,3.0,3.0,9.0,,,,,,Visitor,4.0,7.0,47.0,4:07, ,22026,20058,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,41,1680459927.0,51927,2023-04-02 18:25:27.000000,EventFootballPenalty,"1-10-HOU 49 (7:45) PENALTY on (HOU) 47 C. Rivers, 5 yards",,True,1,7,45,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,16,2302026-STL-at-HOU,465,1365,3165,7:45,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,49,3,49,0,0,0,,,,StatusOfficial,,,,,,1.0,10.0,,,,,,,Visitor,4.0,7.0,52.0,4:26, ,,,,,,,2,21820,5.0,ResultPenaltyRepeatdown,NA,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,43,1680459979.0,51979,2023-04-02 18:26:19.000000,EventFootballPass,1-5-HOU 44 (7:16) 10 A. McCarron pass incomplete to 13 A. Proehl QB Hit by 45 J. Daka,,True,1,7,16,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,17,2302026-STL-at-HOU,436,1336,3136,7:16,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,44,3,44,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,1.0,5.0,,,,,,,Visitor,4.0,8.0,52.0,5:01, ,22026,21263,,,20350,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,45,1680460018.0,52018,2023-04-02 18:26:58.000000,EventFootballRush,"2-5-HOU 44 (6:43) 23 B. Hill rush to HOU 40 for 4 yards (11 T. Beckett, 99 T. Mason)",,True,1,6,43,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,18,2302026-STL-at-HOU,403,1303,3103,6:43,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,44,3,44,0,0,0,20107,,,StatusOfficial,,,,,20688,2.0,5.0,4.0,,,,,,Visitor,4.0,9.0,56.0,5:39, ,,,,,,21004,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,47,1680460060.0,52060,2023-04-02 18:27:40.000000,EventFootballPass,3-1-HOU 40 (6:01) 10 A. McCarron pass to 11 D. Shepherd to HOU 26 for 14 yards (23 S. Davis),,True,1,6,1,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,19,2302026-STL-at-HOU,361,1261,3061,6:01,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,40,3,40,0,0,0,20368,,,StatusOfficial,ResultPassComplete,,,,,3.0,1.0,14.0,,,,,,Visitor,4.0,10.0,70.0,6:21, ,22026,21822,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,49,1680460093.0,52093,2023-04-02 18:28:13.000000,EventFootballPass,1-10-HOU 26 (5:31) 10 A. McCarron pass incomplete to 11 D. Shepherd,,True,1,5,31,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,20,2302026-STL-at-HOU,331,1231,3031,5:31,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,26,3,26,0,0,0,,,,StatusOfficial,ResultPassIncomplete,,,,,1.0,10.0,,,,,,,Visitor,4.0,11.0,70.0,6:44, ,22026,21822,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,57,1680460132.0,52132,2023-04-02 18:28:52.000000,EventFootballPass,2-10-HOU 26 (4:54) 10 A. McCarron pass to 12 G. Jennings to HOU 14 for 12 yards QB Hit by 94 S. Mustin (3 A. Harris),,True,1,4,54,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,21,2302026-STL-at-HOU,294,1194,2994,4:54,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,26,3,26,0,0,0,20633,,,StatusOfficial,ResultPassComplete,,,,,2.0,10.0,12.0,,,,,,Visitor,4.0,12.0,82.0,7:42, ,22026,22038,,,21125,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,53,1680460171.0,52171,2023-04-02 18:29:31.000000,EventFootballPass,"1-10-HOU 14 (4:18) 10 A. McCarron pass to 12 G. Jennings for 14 yards, TOUCHDOWN",,True,1,4,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,22,2302026-STL-at-HOU,258,1158,2958,4:18,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,14,3,14,0,0,0,,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,14.0,,,,,,Visitor,4.0,13.0,96.0,7:53,TD,22026,22038,,,,,,,,,,ScoreTypeTd,,,,1.0,0.0,0.0,0.0,1.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,56,1680460188.0,52188,2023-04-02 18:29:48.000000,EventFootballPat2PtPass,FROM HOU 5 (4:18) 10 A. McCarron 2-pt conversion pass to  NO GOOD,,True,1,4,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,23,2302026-STL-at-HOU,258,1158,2958,4:18,5,,,0.0,STL,HOU,0.0,3,3,3,3,Home,5,3,5,0,6,0,,,,StatusOfficial,ResultPassIncomplete,,,,,,,,,,,,,,,,,,,22026,,,,,,,,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,59,1680460288.0,52288,2023-04-02 18:31:28.000000,EventFootballKickoff,FROM STL 30 (4:18) 2 D. Hageman kicks from STL 30. 20 D. Lee to HOU 31 for 23 yards (33 T. Watson),,True,1,4,18,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,24,2302026-STL-at-HOU,258,1158,2958,4:18,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,30,4,30,0,6,0,22297,22008,20940,StatusOfficial,ResultKickReturned,23.0,Home,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,61,1680460494.0,52494,2023-04-02 18:34:54.000000,EventFootballRush,1-10-HOU 31 (4:04) 26 B. Alleyne rush to HOU 31 for 0 yards (98 F. Akinmoladun),,True,1,4,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,25,2302026-STL-at-HOU,244,1144,2944,4:04,2,,,1.0,HOU,STL,0.0,3,3,3,3,Home,31,4,69,0,6,0,22386,,,StatusOfficial,,,,,20033,1.0,10.0,0.0,,,,,,Home,31.0,1.0,,0:31, ,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,64,1680460524.0,52524,2023-04-02 18:35:24.000000,EventFootballRush,2-10-HOU 31 (3:33) 14 C. McDonald rush to HOU 33 for 2 yards (98 F. Akinmoladun),,True,1,3,33,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,26,2302026-STL-at-HOU,213,1113,2913,3:33,2,,,1.0,HOU,STL,0.0,3,3,3,3,Home,31,4,69,0,6,0,22386,,,StatusOfficial,,,,,21982,2.0,10.0,2.0,,,,,,Home,31.0,2.0,2.0,1:07, ,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,66,1680460559.0,52559,2023-04-02 18:35:59.000000,EventFootballPass,3-8-HOU 33 (2:59) 14 C. McDonald pass to 2 C. Byrd to Midfield for 17 yards (26 N. Meadors),,True,1,2,59,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,27,2302026-STL-at-HOU,179,1079,2879,2:59,2,,,1.0,HOU,STL,0.0,3,3,3,3,Home,33,4,67,0,6,0,22352,,,StatusOfficial,ResultPassComplete,,,,,3.0,8.0,17.0,,,,,,Home,31.0,3.0,19.0,1:32, ,21982,20241,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,68,1680460572.0,52572,2023-04-02 18:36:12.000000,EventFootballPass,1-10-Midfield (2:46) 14 C. McDonald pass dropped by 83 M. Bandy,,True,1,2,46,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,28,2302026-STL-at-HOU,166,1066,2866,2:46,2,,,1.0,HOU,STL,0.0,3,3,3,3,Home,50,4,50,0,6,0,,,,StatusOfficial,ResultPassDropped,,,,,1.0,10.0,,,,,,,Home,31.0,4.0,19.0,1:55, ,21982,22900,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,94,1680460618.0,52618,2023-04-02 18:36:58.000000,EventFootballRush,"2-10-Midfield (2:04) 26 B. Alleyne rush to STL 23 for 27 yards (29 S. Kelly, 38 B. Sebastian)",,True,1,2,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,29,2302026-STL-at-HOU,124,1024,2824,2:04,2,,,1.0,HOU,STL,0.0,3,3,3,3,Home,50,4,50,0,6,0,21870,,,StatusOfficial,,,,,20033,2.0,10.0,27.0,,,,,,Home,31.0,5.0,46.0,2:26, ,,,,,,21389,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,72,1680460649.0,52649,2023-04-02 18:37:29.000000,EventFootballPass,1-10-STL 23 (1:34) 14 C. McDonald pass to 2 C. Byrd to STL 14 for 9 yards (6 L. Williams),,True,1,1,34,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,30,2302026-STL-at-HOU,94,994,2794,1:34,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,23,4,23,0,6,0,21678,,,StatusOfficial,ResultPassComplete,,,,,1.0,10.0,9.0,,,,,,Home,31.0,6.0,55.0,2:59, ,21982,20241,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,74,1680460678.0,52678,2023-04-02 18:37:58.000000,EventFootballRush,2-1-STL 14 (1:04) 22 M. Borghi rush to STL 13 for 1 yard (51 W. Harvey),,True,1,1,4,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,31,2302026-STL-at-HOU,64,964,2764,1:04,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,14,4,14,0,6,0,20647,,,StatusOfficial,,,,,20149,2.0,1.0,1.0,,,,,,Home,31.0,7.0,56.0,3:29, ,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,77,1680460713.0,52713,2023-04-02 18:38:33.000000,EventFootballRush,"1-10-STL 13 (0:30) 22 M. Borghi rush to STL 10 for 3 yards (90 K. Atkins, 27 M. Rose)",,True,1,0,30,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,32,2302026-STL-at-HOU,30,930,2730,0:30,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,13,4,13,0,6,0,20061,,,StatusOfficial,,,,,20149,1.0,10.0,3.0,,,,,,Home,31.0,8.0,59.0,4:18, ,,,,,,21340,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023,FOOTBALL_XFL_2023_4_2_STL@HOU,STL,5,HOU,2,outdoors,79,1680460976.0,52976,2023-04-02 18:42:56.000000,EventFootballPenalty,"2-7-STL 10 (14:56) PENALTY on (STL) 8 M. Hampton, 9 yards",,True,2,14,56,Half1,MaSourceTypeOfficialScoring,FOOTBALL_XFL_2023_4_2_STL@HOU,,QBStat,33,2302026-STL-at-HOU,896,896,2696,14:56,2,,,1.0,HOU,STL,0.0,3,3,3,3,Visitor,10,4,10,0,6,0,,,,StatusOfficial,,,,,,2.0,7.0,,,,,,,Home,31.0,8.0,68.0,4:22, ,,,,,,,5,21862,9.0,ResultPenaltyAuto1Stdown,NA,,,,,0.0,0.0,0.0,0.0,0.0
